公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,25k-40k,"技术大牛多,福利待遇好"
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,不需要融资,朝阳区,python开发工程师,3-5年,大专,15k-25k,大平台
北京奇艺世纪科技有限公司,爱奇艺,2000人以上,上市公司,海淀区,Python高级开发工程师,3-5年,本科,20k-40k,"互联网大厂,成长空间,超强团队,氛围浓厚"
图玛深维医疗科技（北京）有限公司,图玛深维,50-150人,B轮,朝阳区,Python/Golang开发工程师,3-5年,本科,15k-30k,"技术大牛,AI,弹性工作,氛围良好"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-50k,大牛多
北京启明合心科技有限公司,合心科技,50-150人,A轮,海淀区,中级python开发工程师,不限,本科,20k-35k,"领导好,不打卡,午晚餐,年底双薪"
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,高级python工程师,5-10年,大专,20k-30k,"机会多多,平台好,领导好"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python工程师,3-5年,本科,20k-40k,"七险一金,核心项目,高新企业,大牛同事"
北京智分科技有限公司,NewsJet,50-150人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-45k,"Geek范,清华系,福利待遇好,股票期权"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,最高19薪 独角兽公司 学习型团队
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,3-5年,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 开发工程师,1-3年,本科,18k-36k,"弹性工时,一日三餐"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,5-10年,硕士,25k-40k,"五险一金,交通补,免费早餐,定期体检"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1年以下,硕士,15k-30k,"飞速发展,技术氛围浓,待遇好,发展快"
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Python高级研发工程师,3-5年,本科,20k-35k,"六险一金,弹性不打卡,水果零食,B+轮融资"
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,Python工程师,3-5年,大专,15k-30k,"机会多多,K12,平台好"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,Python开发工程师,1-3年,本科,25k-50k,"15薪,13天年假,免费三餐,逢假必过"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python 高级开发工程师,3-5年,本科,20k-40k,"人工智能,黑科技,大牛多"
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,高级 Python 工程师,3-5年,本科,20k-40k,"区块链技术,国际化团队,技术大牛,发展前景好"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,Python,3-5年,本科,25k-30k,"核心项目,中间件团队,底层方向,等你来挑战"
路书（北京）科技有限公司,路书,50-150人,A轮,朝阳区,python研发工程师,3-5年,本科,18k-30k,"期权分享,高颜值产品,年度旅游,弹性工作制"
联想（北京）有限公司,联想集团,2000人以上,上市公司,海淀区,Python 开发,1-3年,本科,10k-15k,稳定
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"硅谷氛围,高手如云,零食水果"
北京完美创意科技有限公司,更美APP,150-500人,D轮及以上,朝阳区,高级Python开发工程师,3-5年,本科,25k-45k,"弹性工时,出国游,扁平化团队,带薪年假"
北京修齐治平科技有限公司,爱云校,500-2000人,C轮,朝阳区,基础架构师-golang/C++/python,3-5年,本科,20k-40k,"六险一金,午餐补助,提供晚餐,每日下午茶"
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,20k-40k,"八险一金,免费三餐,不加班,弹性工作"
北京弥财投资咨询有限公司,弥财,50-150人,A轮,朝阳区,高级Python开发工程师,5-10年,本科,20k-40k,"金融科技,行业先驱,技术大牛,优秀同事"
进化时代科技（北京）有限责任公司,进化时代,少于15人,A轮,海淀区,高级Python开发工程师,3-5年,硕士,20k-40k,"牛津大牛,数据驱动,激励丰厚,七险一金"
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Linux C++/Python中高级研发工程师,5-10年,本科,25k-35k,"弹性工作,六险一金,百万医疗,B+轮融资"
博飞信息科技（上海）有限公司,博飞,15-50人,天使轮,朝阳区,金融云平台Python开发工程师,3-5年,本科,10K-20K,"弹性工作制,年底分红,期权奖励"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python高级工程师,5-10年,本科,25k-30k,"团队氛围好,高速发展,福利多多"
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,25k-50k,"大咖云集,技术氛围好"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,服务端高级开发工程师Golang/Python,3-5年,本科,35k-45k,"优厚待遇,技术导向"
北京猫起来科技有限公司,猫起来科技,少于15人,天使轮,朝阳区,python实习,不限,本科,4k-8k,全程参与打造一家有趣务实不失理想的公司。
北京优虎商务服务有限公司,老虎证券,150-500人,C轮,朝阳区,Python开发工程师,1-3年,本科,20k-40k,"六险一金,超多假期"
北京启明合心科技有限公司,合心科技,50-150人,A轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,python开发工程师,5-10年,本科,20k-40k,"五险一金,补充医疗,带薪年假,上市公司"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,Python,3-5年,本科,40k-60k,"免费中晚餐,下午茶,六险一金,扁平化管理"
